时间,地区,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12,陕西省,15.60,9.70,170.80,2.40,165,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2023-12,西藏区,0.00,0.00,0.00,0.00,166,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2023-12,云南省,35.00,51.50,277.20,28.70,167,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2023-12,贵州省,10.70,118.00,119.80,10.90,168,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2023-12,四川省,18.60,46.50,167.40,23.70,169,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2023-12,重庆市,2.50,54.10,38.20,13.80,170,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2023-12,海南省,0.50,-26.60,4.80,-2.30,171,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2023-12,广西区,22.50,-5.50,221.30,18.00,172,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2023-12,广东省,37.00,0.20,305.20,13.80,173,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
2023-12,湖南省,17.70,20.00,198.90,10.60,174,2023-12-31 00:00:00,1,0,2024-07-20 15:34:17,0,2024-07-20 15:34:17,,,
