时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-09,印度西海岸,动力煤1#,,5500(NAR),109.15,1.70,CFR,132,2024-05-09 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-08,印度西海岸,动力煤3#,,4200(GAR),68.65,0.60,CFR,133,2024-05-08 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-08,印度西海岸,动力煤2#,,5000(GAR),85.10,0.75,CFR,134,2024-05-08 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-08,印度西海岸,动力煤1#,,5500(NAR),107.45,1.10,CFR,135,2024-05-08 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-07,印度西海岸,动力煤3#,,4200(GAR),68.05,0.30,CFR,136,2024-05-07 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-07,印度西海岸,动力煤2#,,5000(GAR),84.35,0.30,CFR,137,2024-05-07 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-07,印度西海岸,动力煤1#,,5500(NAR),106.35,0.55,CFR,138,2024-05-07 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-06,印度西海岸,动力煤3#,,4200(GAR),67.75,0.00,CFR,139,2024-05-06 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-06,印度西海岸,动力煤2#,,5000(GAR),84.05,0.00,CFR,140,2024-05-06 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-06,印度西海岸,动力煤1#,,5500(NAR),105.80,0.20,CFR,141,2024-05-06 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-03,印度西海岸,动力煤3#,,4200(GAR),67.75,0.00,CFR,142,2024-05-03 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-03,印度西海岸,动力煤2#,,5000(GAR),84.05,-0.25,CFR,143,2024-05-03 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
