window,from_date,to_date,category,feature,name,prev,latest,delta,pct,z,corr_import_mean,down_pressure
1,2026-06-24,2026-06-25,国内其它煤价,00000275_1/3焦煤_价格(元/吨)--到岸港口_大连,00000275_1/3焦煤--到岸港口_大连,1160.0,1160.0,0.0,0.0,0.0,0.04930031794699414,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000275_主焦煤_价格(元/吨)--到岸港口_京唐,00000275_主焦煤--到岸港口_京唐,1320.0,1320.0,0.0,0.0,0.0,0.06124937215768978,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000275_主焦煤_价格(元/吨)--到岸港口_天津,00000275_主焦煤--到岸港口_天津,1300.0,1300.0,0.0,0.0,0.0,0.05509354641880676,-0.0
1,2026-06-24,2026-06-25,国内CCI目标,CCI4500,CCI4500,668.0,664.0,-4.0,-0.5988023952095809,-0.28106632865565295,0.617253744115349,0.17348924370745697
1,2026-06-24,2026-06-25,国内CCI目标,CCI5000,CCI5000,768.0,764.0,-4.0,-0.5208333333333333,-0.25276622593769504,0.6392756753542064,0.16158729979305392
1,2026-06-24,2026-06-25,国内CCI目标,CCI5500,CCI5500,860.0,856.0,-4.0,-0.46511627906976744,-0.24021752455023115,0.6550910003475815,0.15736433845863065
1,2026-06-24,2026-06-25,进口CCI目标,CCI进口3800,CCI进口3800,578.0,574.14,-3.8600000000000136,-0.6678200692041546,-0.4295403727229144,0.9362193741789837,0.4021440189352543
1,2026-06-24,2026-06-25,进口CCI目标,CCI进口4700,CCI进口4700,739.83,735.98,-3.8500000000000227,-0.5203898192828113,-0.3600964520755134,0.9334787613501587,0.33614239005003704
1,2026-06-24,2026-06-25,进口CCI目标,CCI进口5500,CCI进口5500,913.23,897.82,-15.409999999999968,-1.687417189536039,-1.7004849845834806,0.8414572408960175,1.4308854033127225
3,2026-06-22,2026-06-25,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力煤1#--镇江港--价格(元/吨),动力煤_5500大卡以上--动力煤1#--镇江港,815.0,815.0,0.0,0.0,0.0,0.2762975442627495,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力煤3#--防城港--价格(元/吨),动力煤_5500大卡以上--动力煤3#--防城港,780.0,780.0,0.0,0.0,0.0,0.7609343215472522,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力末煤3#--上海港--价格(元/吨),动力煤_5500大卡以上--动力末煤3#--上海港,790.0,790.0,0.0,0.0,0.0,0.7864562820363268,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--动力末煤4#--上海港--价格(元/吨),动力煤_5500大卡以上--动力末煤4#--上海港,825.0,825.0,0.0,0.0,0.0,0.7811110238501199,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--榆神煤--徐州市--价格(元/吨),动力煤_5500大卡以上--榆神煤--徐州市,890.0,890.0,0.0,0.0,0.0,0.486925190846685,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--黄陵煤--徐州市--价格(元/吨),动力煤_5500大卡以上--黄陵煤--徐州市,845.0,845.0,0.0,0.0,0.0,0.4890310332337199,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--优混--广州港--价格(元/吨),动力煤_5500大卡以上--优混--广州港,840.0,840.0,0.0,0.0,0.0,0.7945180432042966,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,00000232_优混_价格(元/吨),00000232_优混,1030.0,1030.0,0.0,0.0,0.0,0.6920204707787408,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,00000232_动力煤_价格(元/吨),00000232_动力煤,825.0,825.0,0.0,0.0,0.0,0.7327360336433819,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,00000232_混煤_价格(元/吨),00000232_混煤,1000.0,1000.0,0.0,0.0,0.0,0.7243296608790467,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,00000232_电煤_价格(元/吨),00000232_电煤,915.0,915.0,0.0,0.0,0.0,0.7439824177878136,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,00000233_动力煤_价格(元/吨),00000233_动力煤,755.0,755.0,0.0,0.0,0.0,0.7374006982271554,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,00000233_混煤_价格(元/吨),00000233_混煤,930.0,930.0,0.0,0.0,0.0,0.7287851247446638,-0.0
3,2026-06-22,2026-06-25,国内其它煤价,00000234_动力煤_价格(元/吨),00000234_动力煤,830.0,830.0,0.0,0.0,0.0,0.7358715135076728,-0.0
